"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
14676,197,3279,"Krakow","50.083","19.917","+01:00",0,"KRAK"
12730,197,3280,"Warsaw","52.25","21","+01:00",0,"WARS"
4660,197,3284,"Gdansk","54.35","18.667","+01:00",0,"GDAN"
4661,197,3284,"Gdynia","54.5","18.55","+01:00",0,"GDYN"
40284,254,135,"Warsaw","40.3425","-91.4233","-06:00",717,"WARS"
29729,254,170,"Krakow","44.7599","-88.2604","-06:00",658,"KRAK"
