name,party,cash
Barack Obama,D,29911984.0
John McCain,R,32812513.75
Hillary Clinton,D,985437.81
John Edwards,D,4428347.5
Ron Paul,R,583886.75
Fred Thompson,R,201211.09
Chris Dodd,D,520831.72
Tom Tancredo,R,167162.81
